country_name,gai
Afghanistan,3.32
Albania,2.65
Algeria,4.28
Andorra,7.48
Angola,3.66
Antigua and Barbuda,3.52
Argentina,7.07
Armenia,2.17
Australia,8.03
Austria,7.2
Azerbaijan,1.42
Bahamas,4.09
Bahrain,5.73
Bangladesh,3.69
Barbados,4.43
Belarus,3.38
Belgium,7.95
Belize,4.14
Benin,3.88
Bhutan,4.18
Bolivia,5.24
Bosnia Herzegovina,2.87
Botswana,4.3
Brazil,7.22
Bulgaria,4.19
Burkina Faso,2.96
Burundi,3.3
Cambodia,4.96
Cameroon,2.79
Canada,9.02
Cape Verde,6.78
Central African Republic,2.62
Chad,2.72
Chile,6.83
China,3.69
Colombia,6.1
Comoros,3.47
Costa Rica,6.35
Cote d'Ivoire,3.55
Croatia,5.05
Cuba,5.8
Cyprus,5.16
Czech Republic,5.87
Democratic Republic of the Congo,3.32
Denmark,8.69
Djibouti,2.89
Dominica,3.56
Dominican Republic,4.98
Ecuador,5.47
Egypt,2.48
El Salvador,5.22
Estonia,5.25
Ethiopia,1.63
Finland,7.96
France,7.73
Gabon,2.8
Gambia,2.44
Georgia,2.94
Germany,7.73
Ghana,2.68
United Kingdom,8.34
Greece,5.44
Grenada,3.88
Guatemala,4.71
Guinea,3.06
Guyana,4.36
Haiti,3.32
Honduras,5.15
Hong Kong,6.38
Hungary,5.08
Iceland,9.78
India,5.28
Indonesia,2.79
Iran,2.11
Iraq,3.81
Ireland,8.41
Israel,5.69
Italy,6.94
Jamaica,3.83
Japan,5.26
Jordan,1.87
Kazakhstan,2.69
Kenya,3.62
Kosovo,3.52
Kuwait,3.61
Kyrgyzstan,2.16
Laos,4.89
Latvia,4.42
Lebanon,3.63
Lesotho,4.18
Liberia,2.65
Libya,3.78
Lithuania,4.38
Luxembourg,7.82
North Macedonia,3.13
Madagascar,3.36
Malawi,1.75
Malaysia,3.48
Mali,2.74
Malta,8.01
Mauritania,1.77
Mauritius,5.34
Mexico,6.5
Moldova,1.91
Mongolia,2.71
Montenegro,3.53
Morocco,3.39
Mozambique,4.92
Myanmar,4.11
Nagorno-Karabakh,2.54
Namibia,4.93
Nepal,7.84
Netherlands,9.46
New Zealand,8.23
Nicaragua,5.57
Niger,2.97
Nigeria,2.18
Northern Cyprus,5.59
Norway,9.38
Pakistan,3.66
Palestine,3.2
Panama,5.28
Paraguay,4.74
Peru,5.15
Philippines,6.06
Poland,5.15
Portugal,6.87
Puerto Rico,7.52
Qatar,3.54
Republic of the Congo,3.27
Romania,4.1
Russia,3.28
Rwanda,2.77
Saint Kitts and Nevis,3.71
Saint Lucia,3.8
Saint Vincent and the Grenadines,3.04
Sao Tome and Principe,3.15
Saudi Arabia,3.6
Senegal,1.85
Serbia,3.71
Sierra Leone,2.97
Singapore,5.86
Slovakia,4.82
Slovenia,6.21
Somaliland,1.59
South Africa,6.01
South Korea,4.53
South Sudan,2.73
Spain,8.77
Sri Lanka,3.23
Sudan,2.99
Suriname,4.64
Swaziland,3.02
Sweden,9.18
Switzerland,8
Syria,5.22
Taiwan,5.74
Tajikistan,1.56
Tanzania,3.27
Thailand,5.81
Togo,3.15
Trinidad and Tobago,4.7
Tunisia,3.38
Turkey,3.94
Uganda,3.63
Ukraine,2.91
United States,7.42
Uruguay,7.9
Uzbekistan,3.68
Venezuela,5.51
Vietnam,4.99
Yemen,3.41
Zambia,2.04
Zimbabwe,1.57